"Year-Month","year","month","total_downloads"
"2014-07",2014,"July",15
"2014-08",2014,"August",197
"2014-09",2014,"September",337
"2014-10",2014,"October",443
"2014-11",2014,"November",1508
"2014-12",2014,"December",1051
"2015-01",2015,"January",563
"2015-02",2015,"February",1385
"2015-03",2015,"March",1420
"2015-04",2015,"April",1369
"2015-05",2015,"May",1516
"2015-06",2015,"June",1693
"2015-07",2015,"July",1716
"2015-08",2015,"August",1852
"2015-09",2015,"September",2028
"2015-10",2015,"October",2108
"2015-11",2015,"November",1458
"2015-12",2015,"December",1589
"2016-01",2016,"January",2042
"2016-02",2016,"February",2230
"2016-03",2016,"March",1998
"2016-04",2016,"April",2389
"2016-05",2016,"May",2262
"2016-06",2016,"June",2199
"2016-07",2016,"July",2052
"2016-08",2016,"August",1512
"2016-09",2016,"September",2262
"2016-10",2016,"October",1857
"2016-11",2016,"November",1639
"2016-12",2016,"December",70
