"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"Storytelling, China & South Africa","2016-11-30 21:46:55",11,7,0,18
"Strange Attractor: A Ballroom Marfa Exhibition Pt. 2 [ENG]","2016-11-30 21:36:59",22,8,0,30
""Slices of Reality: Ion Trap & Quatum Lattice", meeting with Evelina Domnitch and Dmitry Gelfand [ENG]","2016-11-30 06:47:04",2,38,0,40
"Bacteria as an Art Medium, meeting with Anna Dumitriu [ENG]","2016-11-30 06:32:17",4,29,0,33
"Reviews of Recent Crime Comics, Part 2","2016-11-20 08:27:08",0,52,0,52
"Theater as a Mode of Dissent  / [FA]  تئاتر هنر معترض","2016-11-14 21:06:47",0,53,0,53
"Re-Thinking Science Fiction's Past, Present, and Future: The Lisa Yaszek Experience [ENG]","2016-11-14 05:23:04",0,69,0,69
"Reviews of Recent Crime Comics, Part 1 [ENG]","2016-11-12 01:18:53",0,35,0,35
" Fakugesi Digital Art Residency - Nathan Gates","2016-11-09 00:45:22",0,45,0,45
"The Persian myth of Zarvan / [FA] اسطوره ي زروان ","2016-11-08 20:26:30",0,59,0,59
"Unconventional Chemistry [ENG]","2016-11-07 19:18:17",11,49,0,60
"The November Previews Catalog [ENG]","2016-11-07 04:03:30",0,34,0,34
" Fakugesi Digital Art Residency- Ling Tan","2016-11-02 17:03:15",0,51,0,51
"Halloween Comics 2016 [ENG]","2016-10-27 20:20:55",0,16,34,50
"Art and its emancipatory dimensions/ [FA] هنر و ابعاد رهایی بخش آن","2016-10-26 20:20:08",0,49,28,77
"Jose Ramon ALCACA ","2016-10-24 07:32:19",0,19,48,67
"Reviews of Black Eye #3, Ancestor, and Frontier #13 [ENG]","2016-10-21 19:43:36",0,6,34,40
"NTU: The State of the Internet","2016-10-16 23:14:29",0,12,80,92
"This and That [ENG]","2016-10-14 18:06:18",0,6,38,44
"Vis and Ramin Performance: Ancient Persian Love Story/ [FA] پر�?ورمنس ویس و رامین","2016-10-13 19:48:28",0,20,29,49
"بدن جولانگاه قدرت  / Your Body is a Battleground of power","2016-10-12 19:46:42",0,14,69,83
"Learning to be [ENG]","2016-10-10 05:34:04",1,15,58,74
"Strange Attractor: A Ballroom Marfa Exhibition Pt. 1 [ENG]","2016-10-09 18:18:22",1,11,53,65
"The October Previews Catalog","2016-10-07 09:04:34",3,3,47,53
"Just a Band","2016-10-05 18:09:11",0,2,63,65
"The Hardest Working Invisible Man in Speculative Fiction: The Bill Campbell Experience","2016-10-03 21:37:02",0,5,104,109
"Reviews of The Lost Work of Will Eisner, Libby’s Dad, and Blubber #3","2016-09-30 11:15:17",0,3,39,58
"Connect People with Science in a Fun Way! ","2016-09-26 05:03:14",0,6,30,81
"SPX 2016 and the Ignatz Awards","2016-09-23 18:45:19",0,3,13,59
"Medellín Trilogy Part 1: Change of Operating Systems","2016-09-23 17:53:41",0,8,13,75
"Heirloom and The Body Collected, as seen by the curators, meeting with Louise Whiteley and Malthe Bjerregaard","2016-09-19 20:43:00",0,11,17,83
"Episode 205: Reviews of Angel Catbird, Vol. 1, Everafter #1, and Glitterbomb #1 [ENG]","2016-09-16 06:39:28",0,4,8,76
"Migration of Ideas - Islamic Art Revival Series","2016-09-15 20:25:59",1,5,19,111
"Girls on the Internet (Part 2) - Girl Gamers","2016-09-12 05:16:43",0,3,14,86
"Girls on the Internet Pt. 1","2016-09-09 03:34:35",0,8,10,86
"Tr. Yeni Medya, Diplomasi ve Troller","2016-08-30 19:13:46",0,5,35,151
"Heirloom, as seen by the artist and scientist, meeting with Gina Czarnecki and John Hunt [ENG]","2016-08-29 00:38:30",0,8,8,86
"Cellular Propeller, as seen by the artist, meeting with Howard Boland [ENG]","2016-08-29 00:20:00",0,6,6,90
"Performance et Performativité [FR]","2016-08-16 01:46:26",0,2,12,79
"We’ve Always Been Biohackers [ENG]","2016-08-16 00:52:02",0,5,7,165
"Does the Use of Sonification in Astronomy Mis-communicate with the Public ? [ENG]","2016-08-16 00:10:23",0,6,11,128
"Iletisim Aracı Olarak Mimarlık [TR]","2016-08-07 21:56:07",0,4,7,89
"Describing Egypt: Virtual Reality of Ancient Egypt [AR]","2016-07-29 22:43:11",0,6,7,167
"Ideas for Breakfast: Virtual Reality Geological Studio","2016-07-27 21:26:09",0,6,5,85
"Dr. Paul Vickers - Sonification, Ethical Computing and Standup Comedy [ENG]","2016-07-15 06:35:08",1,9,9,167
"Other Planes 03: Black Cosplay at Emerald City ComiCon","2016-07-15 05:36:29",0,3,11,109
"Art, Science and Open Electromagnetic Spectrum Culture","2016-07-08 20:23:29",0,3,6,180
"We are Wild Poetry: Hubris, De-Extinction and Speculative Art [ENG]","2016-06-20 14:59:57",0,9,3,178
"Güçlü bir demokrasi için yeni medyada doğrulama [TR]","2016-06-20 03:41:01",0,3,13,145
