"region","total_downloads"
"Unknown",210
"Unknown",19
", Anonymous Proxy",2
", Satellite Provider",2
", United Arab Emirates",1
"Abu Dhabi, United Arab Emirates",2
"Dubai, United Arab Emirates",23
"Sharjah, United Arab Emirates",4
"Tirane, Albania",1
", Argentina",6
"Buenos Aires, Argentina",35
"Cordoba, Argentina",8
"Distrito Federal, Argentina",22
"Entre Rios, Argentina",3
"La Pampa, Argentina",6
"Neuquen, Argentina",5
"Tierra del Fuego, Argentina",1
"Tucuman, Argentina",2
", Austria",21
"Burgenland, Austria",1
"Niederosterreich, Austria",12
"Oberosterreich, Austria",29
"Salzburg, Austria",1
"Steiermark, Austria",16
"Tirol, Austria",11
"Wien, Austria",66
", Australia",123
"Australian Capital Territory, Australia",22
"New South Wales, Australia",259
"Northern Territory, Australia",1
"Queensland, Australia",90
"South Australia, Australia",48
"Tasmania, Australia",3
"Victoria, Australia",306
"Western Australia, Australia",299
", Aruba",1
"Baki, Azerbaijan",1
"Federation of Bosnia and Herzegovina, Bosnia and Herzegovina",1
", Bangladesh",1
"Dhaka, Bangladesh",10
"Chittagong, Bangladesh",1
", Belgium",61
"Antwerpen, Belgium",45
"Hainaut, Belgium",7
"Liege, Belgium",5
"Luxembourg, Belgium",1
"Namur, Belgium",5
"Oost-Vlaanderen, Belgium",235
"West-Vlaanderen, Belgium",2
"Brabant Wallon, Belgium",3
"Brussels Hoofdstedelijk Gewest, Belgium",168
"Vlaams-Brabant, Belgium",12
"Kadiogo, Burkina Faso",2
", Bulgaria",1
"Grad Sofiya, Bulgaria",12
", Bahrain",1
"Al Asimah, Bahrain",2
", Benin",7
"Littoral, Benin",8
"Cochabamba, Bolivia",1
"El Beni, Bolivia",2
"La Paz, Bolivia",2
", Brazil",38
"Alagoas, Brazil",4
"Ceara, Brazil",3
"Distrito Federal, Brazil",3
"Espirito Santo, Brazil",2
"Mato Grosso, Brazil",3
"Minas Gerais, Brazil",12
"Paraiba, Brazil",1
"Parana, Brazil",7
"Rio de Janeiro, Brazil",21
"Rio Grande do Norte, Brazil",1
"Rio Grande do Sul, Brazil",6
"Santa Catarina, Brazil",3
"Sao Paulo, Brazil",62
"Sergipe, Brazil",1
"Goias, Brazil",14
"Pernambuco, Brazil",4
"New Providence, Bahamas",2
", Belarus",3
"Homyel'skaya Voblasts', Belarus",1
"Hrodzyenskaya Voblasts', Belarus",1
"Minsk, Belarus",4
", Canada",45
"Alberta, Canada",72
"British Columbia, Canada",603
"Manitoba, Canada",16
"New Brunswick, Canada",1
"Newfoundland, Canada",3
"Nova Scotia, Canada",10
"Ontario, Canada",465
"Quebec, Canada",274
"Saskatchewan, Canada",3
"Yukon Territory, Canada",2
"Kinshasa, Congo, The Democratic Republic of the",2
", Switzerland",27
"Aargau, Switzerland",2
"Basel-Stadt, Switzerland",5
"Bern, Switzerland",9
"Fribourg, Switzerland",2
"Geneve, Switzerland",12
"Luzern, Switzerland",3
"Neuchatel, Switzerland",1
"Obwalden, Switzerland",1
"Schaffhausen, Switzerland",2
"Solothurn, Switzerland",2
"Thurgau, Switzerland",4
"Vaud, Switzerland",7
"Zurich, Switzerland",32
